WARN   | wrapper  | 2013/05/05 23:50:48 | Unable to write to the configured log directory: /Users/fly/develop/elasticsearch-0.90.0/logs (No such file or directory)
INFO   | jvm 1    | 2013/05/05 23:50:49 | 	at org.apache.log4j.PropertyConfigurator.doConfigure(PropertyConfigurator.java:514)
INFO   | jvm 1    | 2013/05/05 23:50:49 | 	at org.apache.log4j.PropertyConfigurator.configure(PropertyConfigurator.java:440)
INFO   | jvm 1    | 2013/05/05 23:50:49 | 	at org.elasticsearch.common.logging.log4j.LogConfigurator.configure(LogConfigurator.java:111)
INFO   | jvm 1    | 2013/05/05 23:50:49 | 	at org.elasticsearch.bootstrap.Bootstrap.setupLogging(Bootstrap.java:91)
INFO   | jvm 1    | 2013/05/05 23:50:49 | 	at org.elasticsearch.bootstrap.Bootstrap.main(Bootstrap.java:175)
INFO   | jvm 1    | 2013/05/05 23:50:49 | 	at org.elasticsearch.bootstrap.ElasticSearchF.main(ElasticSearchF.java:15)
INFO   | jvm 1    | 2013/05/05 23:50:49 | 	at sun.reflect.NativeMethodAccessorImpl.invoke0(Native Method)
INFO   | jvm 1    | 2013/05/05 23:50:49 | 	at sun.reflect.NativeMethodAccessorImpl.invoke(NativeMethodAccessorImpl.java:39)
INFO   | jvm 1    | 2013/05/05 23:50:49 | 	at sun.reflect.DelegatingMethodAccessorImpl.invoke(DelegatingMethodAccessorImpl.java:25)
INFO   | jvm 1    | 2013/05/05 23:50:49 | 	at java.lang.reflect.Method.invoke(Method.java:597)
INFO   | jvm 1    | 2013/05/05 23:50:49 | 	at org.tanukisoftware.wrapper.WrapperSimpleApp.run(WrapperSimpleApp.java:290)
INFO   | jvm 1    | 2013/05/05 23:50:49 | 	at java.lang.Thread.run(Thread.java:680)
INFO   | jvm 1    | 2013/05/05 23:50:49 | log4j:ERROR Either File or DatePattern options are not set for appender [file].
INFO   | jvm 1    | 2013/05/05 23:50:49 | [2013-05-05 23:50:49,837][INFO ][node                     ] [FLY] {0.90.0}[69778]: initializing ...
INFO   | jvm 1    | 2013/05/05 23:50:49 | [2013-05-05 23:50:49,845][INFO ][plugins                  ] [FLY] loaded [], sites []
STATUS | wrapper  | 2013/05/05 23:50:50 | INT trapped.  Shutting down.
STATUS | wrapper  | 2013/05/05 23:50:51 | <-- Wrapper Stopped
WARN   | wrapper  | 2013/05/05 23:50:55 | Unable to write to the configured log directory: /Users/fly/develop/elasticsearch-0.90.0/logs (No such file or directory)
WARN   | wrapper  | 2013/05/05 23:50:55 |   The directory does not exist.
WARN   | wrapper  | 2013/05/05 23:50:55 | Unable to write to the configured log file: /Users/fly/develop/elasticsearch-0.90.0/logs/service.log (No such file or directory)
WARN   | wrapper  | 2013/05/05 23:50:55 |   Falling back to the default file in the current working directory: wrapper.log
STATUS | wrapper  | 2013/05/05 23:50:55 | --> Wrapper Started as Console
STATUS | wrapper  | 2013/05/05 23:50:55 | Java Service Wrapper Community Edition 64-bit 3.5.14
STATUS | wrapper  | 2013/05/05 23:50:55 |   Copyright (C) 1999-2011 Tanuki Software, Ltd. All Rights Reserved.
STATUS | wrapper  | 2013/05/05 23:50:55 |     http://wrapper.tanukisoftware.com
STATUS | wrapper  | 2013/05/05 23:50:55 | 
STATUS | wrapper  | 2013/05/05 23:50:55 | Launching a JVM...
INFO   | jvm 1    | 2013/05/05 23:50:55 | WrapperManager: Initializing...
INFO   | jvm 1    | 2013/05/05 23:50:56 | [2013-05-05 23:50:56,215][INFO ][node                     ] [FLY] {0.90.0}[69842]: initializing ...
INFO   | jvm 1    | 2013/05/05 23:50:56 | [2013-05-05 23:50:56,223][INFO ][plugins                  ] [FLY] loaded [], sites []
INFO   | jvm 1    | 2013/05/05 23:50:58 | [2013-05-05 23:50:58,063][INFO ][node                     ] [FLY] {0.90.0}[69842]: initialized
INFO   | jvm 1    | 2013/05/05 23:50:58 | [2013-05-05 23:50:58,064][INFO ][node                     ] [FLY] {0.90.0}[69842]: starting ...
INFO   | jvm 1    | 2013/05/05 23:50:58 | [2013-05-05 23:50:58,168][INFO ][transport                ] [FLY] bound_address {inet[/0:0:0:0:0:0:0:0%0:9300]}, publish_address {inet[/192.168.1.202:9300]}
INFO   | jvm 1    | 2013/05/05 23:51:01 | [2013-05-05 23:51:01,196][INFO ][cluster.service          ] [FLY] new_master [FLY][os0H3eAiQzGg5YBu1v9xSQ][inet[/192.168.1.202:9300]]{master=true}, reason: zen-disco-join (elected_as_master)
INFO   | jvm 1    | 2013/05/05 23:51:01 | [2013-05-05 23:51:01,234][INFO ][discovery                ] [FLY] elasticsearch/os0H3eAiQzGg5YBu1v9xSQ
INFO   | jvm 1    | 2013/05/05 23:51:01 | [2013-05-05 23:51:01,251][INFO ][http                     ] [FLY] bound_address {inet[/0:0:0:0:0:0:0:0%0:9200]}, publish_address {inet[/192.168.1.202:9200]}
INFO   | jvm 1    | 2013/05/05 23:51:01 | [2013-05-05 23:51:01,251][INFO ][node                     ] [FLY] {0.90.0}[69842]: started
INFO   | jvm 1    | 2013/05/05 23:51:02 | [2013-05-05 23:51:01,994][INFO ][gateway                  ] [FLY] recovered [6] indices into cluster_state
INFO   | jvm 1    | 2013/05/05 23:51:02 | [2013-05-05 23:51:01,994][WARN ][cluster.metadata         ] [FLY] [test-pindex] re-syncing mappings with cluster state for types [[test-type]]
INFO   | jvm 1    | 2013/05/05 23:51:02 | [2013-05-05 23:51:02,056][WARN ][cluster.service          ] [FLY] failed to apply updated cluster state:
INFO   | jvm 1    | 2013/05/05 23:51:02 | version [5], source [reroute post shard-started ([test-pindex][3], node[os0H3eAiQzGg5YBu1v9xSQ], [P], s[INITIALIZING]), reason [after recovery from gateway]]
INFO   | jvm 1    | 2013/05/05 23:51:02 | nodes: 
INFO   | jvm 1    | 2013/05/05 23:51:02 |    [FLY][os0H3eAiQzGg5YBu1v9xSQ][inet[/192.168.1.202:9300]]{master=true}, local, master
INFO   | jvm 1    | 2013/05/05 23:51:02 | routing_table:
INFO   | jvm 1    | 2013/05/05 23:51:02 | -- index [medcl]
INFO   | jvm 1    | 2013/05/05 23:51:02 | ----shard_id [medcl][0]
INFO   | jvm 1    | 2013/05/05 23:51:02 | --------[medcl][0], node[null], [P], s[UNASSIGNED]
INFO   | jvm 1    | 2013/05/05 23:51:02 | --------[medcl][0], node[null], [R], s[UNASSIGNED]
INFO   | jvm 1    | 2013/05/05 23:51:02 | ----shard_id [medcl][1]
INFO   | jvm 1    | 2013/05/05 23:51:02 | --------[medcl][1], node[null], [P], s[UNASSIGNED]
INFO   | jvm 1    | 2013/05/05 23:51:02 | --------[medcl][1], node[null], [R], s[UNASSIGNED]
INFO   | jvm 1    | 2013/05/05 23:51:02 | ----shard_id [medcl][2]
INFO   | jvm 1    | 2013/05/05 23:51:02 | --------[medcl][2], node[null], [P], s[UNASSIGNED]
INFO   | jvm 1    | 2013/05/05 23:51:02 | --------[medcl][2], node[null], [R], s[UNASSIGNED]
INFO   | jvm 1    | 2013/05/05 23:51:02 | ----shard_id [medcl][3]
INFO   | jvm 1    | 2013/05/05 23:51:02 | --------[medcl][3], node[os0H3eAiQzGg5YBu1v9xSQ], [P], s[INITIALIZING]
INFO   | jvm 1    | 2013/05/05 23:51:02 | --------[medcl][3], node[null], [R], s[UNASSIGNED]
INFO   | jvm 1    | 2013/05/05 23:51:02 | ----shard_id [medcl][4]
INFO   | jvm 1    | 2013/05/05 23:51:02 | --------[medcl][4], node[null], [P], s[UNASSIGNED]
INFO   | jvm 1    | 2013/05/05 23:51:02 | --------[medcl][4], node[null], [R], s[UNASSIGNED]
INFO   | jvm 1    | 2013/05/05 23:51:02 | 
INFO   | jvm 1    | 2013/05/05 23:51:02 | -- index [test-pindex]
INFO   | jvm 1    | 2013/05/05 23:51:02 | ----shard_id [test-pindex][0]
INFO   | jvm 1    | 2013/05/05 23:51:02 | --------[test-pindex][0], node[null], [P], s[UNASSIGNED]
INFO   | jvm 1    | 2013/05/05 23:51:02 | --------[test-pindex][0], node[null], [R], s[UNASSIGNED]
INFO   | jvm 1    | 2013/05/05 23:51:02 | ----shard_id [test-pindex][1]
INFO   | jvm 1    | 2013/05/05 23:51:02 | --------[test-pindex][1], node[null], [P], s[UNASSIGNED]
INFO   | jvm 1    | 2013/05/05 23:51:02 | --------[test-pindex][1], node[null], [R], s[UNASSIGNED]
INFO   | jvm 1    | 2013/05/05 23:51:02 | ----shard_id [test-pindex][2]
INFO   | jvm 1    | 2013/05/05 23:51:02 | --------[test-pindex][2], node[null], [P], s[UNASSIGNED]
INFO   | jvm 1    | 2013/05/05 23:51:02 | --------[test-pindex][2], node[null], [R], s[UNASSIGNED]
INFO   | jvm 1    | 2013/05/05 23:51:02 | ----shard_id [test-pindex][3]
INFO   | jvm 1    | 2013/05/05 23:51:02 | --------[test-pindex][3], node[os0H3eAiQzGg5YBu1v9xSQ], [P], s[STARTED]
INFO   | jvm 1    | 2013/05/05 23:51:02 | --------[test-pindex][3], node[null], [R], s[UNASSIGNED]
INFO   | jvm 1    | 2013/05/05 23:51:02 | ----shard_id [test-pindex][4]
INFO   | jvm 1    | 2013/05/05 23:51:02 | --------[test-pindex][4], node[null], [P], s[UNASSIGNED]
INFO   | jvm 1    | 2013/05/05 23:51:02 | --------[test-pindex][4], node[null], [R], s[UNASSIGNED]
INFO   | jvm 1    | 2013/05/05 23:51:02 | 
INFO   | jvm 1    | 2013/05/05 23:51:02 | -- index [index]
INFO   | jvm 1    | 2013/05/05 23:51:02 | ----shard_id [index][0]
INFO   | jvm 1    | 2013/05/05 23:51:02 | --------[index][0], node[null], [P], s[UNASSIGNED]
INFO   | jvm 1    | 2013/05/05 23:51:02 | --------[index][0], node[null], [R], s[UNASSIGNED]
INFO   | jvm 1    | 2013/05/05 23:51:02 | ----shard_id [index][1]
INFO   | jvm 1    | 2013/05/05 23:51:02 | --------[index][1], node[os0H3eAiQzGg5YBu1v9xSQ], [P], s[STARTED]
INFO   | jvm 1    | 2013/05/05 23:51:02 | --------[index][1], node[null], [R], s[UNASSIGNED]
INFO   | jvm 1    | 2013/05/05 23:51:02 | ----shard_id [index][2]
INFO   | jvm 1    | 2013/05/05 23:51:02 | --------[index][2], node[os0H3eAiQzGg5YBu1v9xSQ], [P], s[INITIALIZING]
INFO   | jvm 1    | 2013/05/05 23:51:02 | --------[index][2], node[null], [R], s[UNASSIGNED]
INFO   | jvm 1    | 2013/05/05 23:51:02 | ----shard_id [index][3]
INFO   | jvm 1    | 2013/05/05 23:51:02 | --------[index][3], node[null], [P], s[UNASSIGNED]
INFO   | jvm 1    | 2013/05/05 23:51:02 | --------[index][3], node[null], [R], s[UNASSIGNED]
INFO   | jvm 1    | 2013/05/05 23:51:02 | ----shard_id [index][4]
INFO   | jvm 1    | 2013/05/05 23:51:02 | --------[index][4], node[os0H3eAiQzGg5YBu1v9xSQ], [P], s[STARTED]
INFO   | jvm 1    | 2013/05/05 23:51:02 | --------[index][4], node[null], [R], s[UNASSIGNED]
INFO   | jvm 1    | 2013/05/05 23:51:02 | 
INFO   | jvm 1    | 2013/05/05 23:51:02 | -- index [test]
INFO   | jvm 1    | 2013/05/05 23:51:02 | ----shard_id [test][0]
INFO   | jvm 1    | 2013/05/05 23:51:02 | --------[test][0], node[null], [P], s[UNASSIGNED]
INFO   | jvm 1    | 2013/05/05 23:51:02 | --------[test][0], node[null], [R], s[UNASSIGNED]
INFO   | jvm 1    | 2013/05/05 23:51:02 | ----shard_id [test][1]
INFO   | jvm 1    | 2013/05/05 23:51:02 | --------[test][1], node[null], [P], s[UNASSIGNED]
INFO   | jvm 1    | 2013/05/05 23:51:02 | --------[test][1], node[null], [R], s[UNASSIGNED]
INFO   | jvm 1    | 2013/05/05 23:51:02 | ----shard_id [test][2]
INFO   | jvm 1    | 2013/05/05 23:51:02 | --------[test][2], node[null], [P], s[UNASSIGNED]
INFO   | jvm 1    | 2013/05/05 23:51:02 | --------[test][2], node[null], [R], s[UNASSIGNED]
INFO   | jvm 1    | 2013/05/05 23:51:02 | ----shard_id [test][3]
INFO   | jvm 1    | 2013/05/05 23:51:02 | --------[test][3], node[null], [P], s[UNASSIGNED]
INFO   | jvm 1    | 2013/05/05 23:51:02 | --------[test][3], node[null], [R], s[UNASSIGNED]
INFO   | jvm 1    | 2013/05/05 23:51:02 | ----shard_id [test][4]
INFO   | jvm 1    | 2013/05/05 23:51:02 | --------[test][4], node[null], [P], s[UNASSIGNED]
INFO   | jvm 1    | 2013/05/05 23:51:02 | --------[test][4], node[null], [R], s[UNASSIGNED]
INFO   | jvm 1    | 2013/05/05 23:51:02 | 
INFO   | jvm 1    | 2013/05/05 23:51:02 | -- index [tag_index]
INFO   | jvm 1    | 2013/05/05 23:51:02 | ----shard_id [tag_index][0]
INFO   | jvm 1    | 2013/05/05 23:51:02 | --------[tag_index][0], node[null], [P], s[UNASSIGNED]
INFO   | jvm 1    | 2013/05/05 23:51:02 | --------[tag_index][0], node[null], [R], s[UNASSIGNED]
INFO   | jvm 1    | 2013/05/05 23:51:02 | ----shard_id [tag_index][1]
INFO   | jvm 1    | 2013/05/05 23:51:02 | --------[tag_index][1], node[null], [P], s[UNASSIGNED]
INFO   | jvm 1    | 2013/05/05 23:51:02 | --------[tag_index][1], node[null], [R], s[UNASSIGNED]
INFO   | jvm 1    | 2013/05/05 23:51:02 | ----shard_id [tag_index][2]
INFO   | jvm 1    | 2013/05/05 23:51:02 | --------[tag_index][2], node[os0H3eAiQzGg5YBu1v9xSQ], [P], s[INITIALIZING]
INFO   | jvm 1    | 2013/05/05 23:51:02 | --------[tag_index][2], node[null], [R], s[UNASSIGNED]
INFO   | jvm 1    | 2013/05/05 23:51:02 | ----shard_id [tag_index][3]
INFO   | jvm 1    | 2013/05/05 23:51:02 | --------[tag_index][3], node[null], [P], s[UNASSIGNED]
INFO   | jvm 1    | 2013/05/05 23:51:02 | --------[tag_index][3], node[null], [R], s[UNASSIGNED]
INFO   | jvm 1    | 2013/05/05 23:51:02 | ----shard_id [tag_index][4]
INFO   | jvm 1    | 2013/05/05 23:51:02 | --------[tag_index][4], node[null], [P], s[UNASSIGNED]
INFO   | jvm 1    | 2013/05/05 23:51:02 | --------[tag_index][4], node[null], [R], s[UNASSIGNED]
INFO   | jvm 1    | 2013/05/05 23:51:02 | 
INFO   | jvm 1    | 2013/05/05 23:51:02 | -- index [index2]
INFO   | jvm 1    | 2013/05/05 23:51:02 | ----shard_id [index2][0]
INFO   | jvm 1    | 2013/05/05 23:51:02 | --------[index2][0], node[null], [P], s[UNASSIGNED]
INFO   | jvm 1    | 2013/05/05 23:51:02 | --------[index2][0], node[null], [R], s[UNASSIGNED]
INFO   | jvm 1    | 2013/05/05 23:51:02 | ----shard_id [index2][1]
INFO   | jvm 1    | 2013/05/05 23:51:02 | --------[index2][1], node[null], [P], s[UNASSIGNED]
INFO   | jvm 1    | 2013/05/05 23:51:02 | --------[index2][1], node[null], [R], s[UNASSIGNED]
INFO   | jvm 1    | 2013/05/05 23:51:02 | ----shard_id [index2][2]
INFO   | jvm 1    | 2013/05/05 23:51:02 | --------[index2][2], node[os0H3eAiQzGg5YBu1v9xSQ], [P], s[INITIALIZING]
INFO   | jvm 1    | 2013/05/05 23:51:02 | --------[index2][2], node[null], [R], s[UNASSIGNED]
INFO   | jvm 1    | 2013/05/05 23:51:02 | ----shard_id [index2][3]
INFO   | jvm 1    | 2013/05/05 23:51:02 | --------[index2][3], node[os0H3eAiQzGg5YBu1v9xSQ], [P], s[STARTED]
INFO   | jvm 1    | 2013/05/05 23:51:02 | --------[index2][3], node[null], [R], s[UNASSIGNED]
INFO   | jvm 1    | 2013/05/05 23:51:02 | ----shard_id [index2][4]
INFO   | jvm 1    | 2013/05/05 23:51:02 | --------[index2][4], node[null], [P], s[UNASSIGNED]
INFO   | jvm 1    | 2013/05/05 23:51:02 | --------[index2][4], node[null], [R], s[UNASSIGNED]
INFO   | jvm 1    | 2013/05/05 23:51:02 | 
INFO   | jvm 1    | 2013/05/05 23:51:02 | routing_nodes:
INFO   | jvm 1    | 2013/05/05 23:51:02 | -----node_id[os0H3eAiQzGg5YBu1v9xSQ][V]
INFO   | jvm 1    | 2013/05/05 23:51:02 | --------[medcl][3], node[os0H3eAiQzGg5YBu1v9xSQ], [P], s[INITIALIZING]
INFO   | jvm 1    | 2013/05/05 23:51:02 | --------[test-pindex][3], node[os0H3eAiQzGg5YBu1v9xSQ], [P], s[STARTED]
INFO   | jvm 1    | 2013/05/05 23:51:02 | --------[index][1], node[os0H3eAiQzGg5YBu1v9xSQ], [P], s[STARTED]
INFO   | jvm 1    | 2013/05/05 23:51:02 | --------[index][2], node[os0H3eAiQzGg5YBu1v9xSQ], [P], s[INITIALIZING]
INFO   | jvm 1    | 2013/05/05 23:51:02 | --------[index][4], node[os0H3eAiQzGg5YBu1v9xSQ], [P], s[STARTED]
INFO   | jvm 1    | 2013/05/05 23:51:02 | --------[tag_index][2], node[os0H3eAiQzGg5YBu1v9xSQ], [P], s[INITIALIZING]
INFO   | jvm 1    | 2013/05/05 23:51:02 | --------[index2][2], node[os0H3eAiQzGg5YBu1v9xSQ], [P], s[INITIALIZING]
INFO   | jvm 1    | 2013/05/05 23:51:02 | --------[index2][3], node[os0H3eAiQzGg5YBu1v9xSQ], [P], s[STARTED]
INFO   | jvm 1    | 2013/05/05 23:51:02 | ---- unassigned
INFO   | jvm 1    | 2013/05/05 23:51:02 | --------[medcl][0], node[null], [P], s[UNASSIGNED]
INFO   | jvm 1    | 2013/05/05 23:51:02 | --------[medcl][0], node[null], [R], s[UNASSIGNED]
INFO   | jvm 1    | 2013/05/05 23:51:02 | --------[medcl][1], node[null], [P], s[UNASSIGNED]
INFO   | jvm 1    | 2013/05/05 23:51:02 | --------[medcl][1], node[null], [R], s[UNASSIGNED]
INFO   | jvm 1    | 2013/05/05 23:51:02 | --------[medcl][2], node[null], [P], s[UNASSIGNED]
INFO   | jvm 1    | 2013/05/05 23:51:02 | --------[medcl][2], node[null], [R], s[UNASSIGNED]
INFO   | jvm 1    | 2013/05/05 23:51:02 | --------[medcl][3], node[null], [R], s[UNASSIGNED]
INFO   | jvm 1    | 2013/05/05 23:51:02 | --------[medcl][4], node[null], [P], s[UNASSIGNED]
INFO   | jvm 1    | 2013/05/05 23:51:02 | --------[medcl][4], node[null], [R], s[UNASSIGNED]
INFO   | jvm 1    | 2013/05/05 23:51:02 | --------[test-pindex][0], node[null], [P], s[UNASSIGNED]
INFO   | jvm 1    | 2013/05/05 23:51:02 | --------[test-pindex][0], node[null], [R], s[UNASSIGNED]
INFO   | jvm 1    | 2013/05/05 23:51:02 | --------[test-pindex][1], node[null], [P], s[UNASSIGNED]
INFO   | jvm 1    | 2013/05/05 23:51:02 | --------[test-pindex][1], node[null], [R], s[UNASSIGNED]
INFO   | jvm 1    | 2013/05/05 23:51:02 | --------[test-pindex][2], node[null], [P], s[UNASSIGNED]
INFO   | jvm 1    | 2013/05/05 23:51:02 | --------[test-pindex][2], node[null], [R], s[UNASSIGNED]
INFO   | jvm 1    | 2013/05/05 23:51:02 | --------[test-pindex][3], node[null], [R], s[UNASSIGNED]
INFO   | jvm 1    | 2013/05/05 23:51:02 | --------[test-pindex][4], node[null], [P], s[UNASSIGNED]
INFO   | jvm 1    | 2013/05/05 23:51:02 | --------[test-pindex][4], node[null], [R], s[UNASSIGNED]
INFO   | jvm 1    | 2013/05/05 23:51:02 | --------[index][0], node[null], [P], s[UNASSIGNED]
INFO   | jvm 1    | 2013/05/05 23:51:02 | --------[index][0], node[null], [R], s[UNASSIGNED]
INFO   | jvm 1    | 2013/05/05 23:51:02 | --------[index][1], node[null], [R], s[UNASSIGNED]
INFO   | jvm 1    | 2013/05/05 23:51:02 | --------[index][2], node[null], [R], s[UNASSIGNED]
INFO   | jvm 1    | 2013/05/05 23:51:02 | --------[index][3], node[null], [P], s[UNASSIGNED]
INFO   | jvm 1    | 2013/05/05 23:51:02 | --------[index][3], node[null], [R], s[UNASSIGNED]
INFO   | jvm 1    | 2013/05/05 23:51:02 | --------[index][4], node[null], [R], s[UNASSIGNED]
INFO   | jvm 1    | 2013/05/05 23:51:02 | --------[test][0], node[null], [P], s[UNASSIGNED]
INFO   | jvm 1    | 2013/05/05 23:51:02 | --------[test][0], node[null], [R], s[UNASSIGNED]
INFO   | jvm 1    | 2013/05/05 23:51:02 | --------[test][1], node[null], [P], s[UNASSIGNED]
INFO   | jvm 1    | 2013/05/05 23:51:02 | --------[test][1], node[null], [R], s[UNASSIGNED]
INFO   | jvm 1    | 2013/05/05 23:51:02 | --------[test][2], node[null], [P], s[UNASSIGNED]
INFO   | jvm 1    | 2013/05/05 23:51:02 | --------[test][2], node[null], [R], s[UNASSIGNED]
INFO   | jvm 1    | 2013/05/05 23:51:02 | --------[test][3], node[null], [P], s[UNASSIGNED]
INFO   | jvm 1    | 2013/05/05 23:51:02 | --------[test][3], node[null], [R], s[UNASSIGNED]
INFO   | jvm 1    | 2013/05/05 23:51:02 | --------[test][4], node[null], [P], s[UNASSIGNED]
INFO   | jvm 1    | 2013/05/05 23:51:02 | --------[test][4], node[null], [R], s[UNASSIGNED]
INFO   | jvm 1    | 2013/05/05 23:51:02 | --------[tag_index][0], node[null], [P], s[UNASSIGNED]
INFO   | jvm 1    | 2013/05/05 23:51:02 | --------[tag_index][0], node[null], [R], s[UNASSIGNED]
INFO   | jvm 1    | 2013/05/05 23:51:02 | --------[tag_index][1], node[null], [P], s[UNASSIGNED]
INFO   | jvm 1    | 2013/05/05 23:51:02 | --------[tag_index][1], node[null], [R], s[UNASSIGNED]
INFO   | jvm 1    | 2013/05/05 23:51:02 | --------[tag_index][2], node[null], [R], s[UNASSIGNED]
INFO   | jvm 1    | 2013/05/05 23:51:02 | --------[tag_index][3], node[null], [P], s[UNASSIGNED]
INFO   | jvm 1    | 2013/05/05 23:51:02 | --------[tag_index][3], node[null], [R], s[UNASSIGNED]
INFO   | jvm 1    | 2013/05/05 23:51:02 | --------[tag_index][4], node[null], [P], s[UNASSIGNED]
INFO   | jvm 1    | 2013/05/05 23:51:02 | --------[tag_index][4], node[null], [R], s[UNASSIGNED]
INFO   | jvm 1    | 2013/05/05 23:51:02 | --------[index2][0], node[null], [P], s[UNASSIGNED]
INFO   | jvm 1    | 2013/05/05 23:51:02 | --------[index2][0], node[null], [R], s[UNASSIGNED]
INFO   | jvm 1    | 2013/05/05 23:51:02 | --------[index2][1], node[null], [P], s[UNASSIGNED]
INFO   | jvm 1    | 2013/05/05 23:51:02 | --------[index2][1], node[null], [R], s[UNASSIGNED]
INFO   | jvm 1    | 2013/05/05 23:51:02 | --------[index2][2], node[null], [R], s[UNASSIGNED]
INFO   | jvm 1    | 2013/05/05 23:51:02 | --------[index2][3], node[null], [R], s[UNASSIGNED]
INFO   | jvm 1    | 2013/05/05 23:51:02 | --------[index2][4], node[null], [P], s[UNASSIGNED]
INFO   | jvm 1    | 2013/05/05 23:51:02 | --------[index2][4], node[null], [R], s[UNASSIGNED]
INFO   | jvm 1    | 2013/05/05 23:51:02 | 
INFO   | jvm 1    | 2013/05/05 23:51:02 | org.elasticsearch.indices.IndexCreationException: [medcl] failed to create index
INFO   | jvm 1    | 2013/05/05 23:51:02 | 	at org.elasticsearch.indices.InternalIndicesService.createIndex(InternalIndicesService.java:382)
INFO   | jvm 1    | 2013/05/05 23:51:02 | 	at org.elasticsearch.indices.cluster.IndicesClusterStateService.applyNewIndices(IndicesClusterStateService.java:305)
INFO   | jvm 1    | 2013/05/05 23:51:02 | 	at org.elasticsearch.indices.cluster.IndicesClusterStateService.clusterChanged(IndicesClusterStateService.java:171)
INFO   | jvm 1    | 2013/05/05 23:51:02 | 	at org.elasticsearch.cluster.service.InternalClusterService$2.run(InternalClusterService.java:321)
INFO   | jvm 1    | 2013/05/05 23:51:02 | 	at org.elasticsearch.common.util.concurrent.PrioritizedEsThreadPoolExecutor$TieBreakingPrioritizedRunnable.run(PrioritizedEsThreadPoolExecutor.java:95)
INFO   | jvm 1    | 2013/05/05 23:51:02 | 	at java.util.concurrent.ThreadPoolExecutor$Worker.runTask(ThreadPoolExecutor.java:895)
INFO   | jvm 1    | 2013/05/05 23:51:02 | 	at java.util.concurrent.ThreadPoolExecutor$Worker.run(ThreadPoolExecutor.java:918)
INFO   | jvm 1    | 2013/05/05 23:51:02 | 	at java.lang.Thread.run(Thread.java:680)
INFO   | jvm 1    | 2013/05/05 23:51:02 | Caused by: org.elasticsearch.ElasticSearchIllegalArgumentException: failed to find tokenizer type [pinyin] for [my_pinyin]
INFO   | jvm 1    | 2013/05/05 23:51:02 | 	at org.elasticsearch.index.analysis.AnalysisModule.configure(AnalysisModule.java:308)
INFO   | jvm 1    | 2013/05/05 23:51:02 | 	at org.elasticsearch.common.inject.AbstractModule.configure(AbstractModule.java:60)
